Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
HDFCBANK,23-Nov-17,30-Nov-17,PE,1680,0,0,0,1.25,1.25,0,0,0,0,3500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1700,0.5,0.5,0.5,0.5,0.5,0.5,1,8.5,0,53000,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1720,0.95,1,0.95,1,1,1,2,17.21,0.01,24500,-500,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1740,1,1,1,1,1,1,2,17.41,0.01,91500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1760,0.8,0.85,0.7,0.85,0.85,0.85,15,132.06,0.06,118000,-500,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1780,1.05,1.8,1.05,1.4,1.4,1.4,13,115.79,0.09,127500,-3000,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1800,2.4,2.65,1.9,2.35,2,2.35,324,2919.53,3.53,227500,-2000,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1820,4.3,5.1,3.3,4.65,5,4.65,288,2626.78,5.98,145500,3500,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1840,8.6,11.85,7.7,10.4,11,10.4,512,4733.5,23.1,151000,-11500,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1860,17.05,23.35,15.6,21.45,22.25,21.45,129,1211.56,11.86,50000,-3500,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1880,0,0,0,54.55,54.55,38.95,0,0,0,33500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1900,0,0,0,50,50,56.4,0,0,0,11500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1920,0,0,0,131.25,0,75.35,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1940,0,0,0,141,141,94.95,0,0,0,4000,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1960,0,0,0,164,0,114.85,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1980,0,0,0,181.25,0,134.8,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,2000,0,0,0,140,140,154.75,0,0,0,500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,2020,0,0,0,217.15,0,174.75,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,2040,0,0,0,235.6,0,194.75,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1400,0,0,0,0.05,0,0,0,0,0,0,0,1847
HDFCBANK,24-Nov-17,30-Nov-17,CE,1380,0,0,0,417.9,0,472.85,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,2060,0,0,0,2.2,2.2,0,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1420,0,0,0,378.55,0,432.9,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1440,0,0,0,358.9,0,412.9,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1460,0,0,0,339.3,0,392.9,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1480,0,0,0,319.7,0,372.95,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1500,0,0,0,300.15,0,352.95,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1520,0,0,0,280.75,0,333,0,0,0,0,0,1857.35
